"d20","d30","d40","d50","d100","d200","d300","d400","d500"
16,19,10,21,44,23,85,52,20
8,6,12,25,11,53,125,9,65
17,7,18,25,34,27,75,83,48
6,10,11,12,36,62,30,15,100
15,10,16,26,22,12,8,39,65
11,18,27,35,40,50,67,70,78
7,18,11,10,16,47,75,49,108
16,9,34,17,11,11,18,68,101
5,12,31,32,17,15,60,81,97
13,17,33,37,47,57,48,56,79
5,9,11,27,13,25,62,92,46
17,10,23,11,23,31,31,49,116
15,13,18,23,30,33,89,68,108
13,8,20,25,37,55,87,60,32
9,7,6,15,15,3,16,74,54
17,14,21,20,34,23,36,86,70
18,11,10,31,12,72,107,22,47
17,16,28,26,15,73,46,42,113
11,12,21,18,31,56,18,78,96
12,12,31,6,33,36,63,33,48
10,22,12,26,19,47,63,115,71
6,8,14,13,30,23,38,55,46
10,17,30,28,40,26,50,34,86
11,5,8,13,31,51,85,92,80
15,9,16,16,33,70,49,75,53
13,16,15,6,15,52,15,73,58
8,17,16,23,59,51,50,45,92
10,26,11,16,50,26,86,28,56
7,22,16,33,7,42,81,75,126
11,18,19,10,7,69,71,56,11
9,25,25,20,28,40,50,11,62
13,21,8,10,7,26,61,68,110
17,13,5,17,30,26,11,45,56
17,23,26,40,37,21,65,67,77
7,3,15,31,17,55,14,70,52
10,26,13,31,38,30,45,20,105
19,15,18,22,10,22,41,53,13
15,20,20,21,43,63,55,65,80
19,19,17,10,17,57,62,32,51
5,26,26,13,40,25,65,59,75
6,13,26,36,40,25,7,87,77
15,15,27,25,33,60,97,113,55
10,26,31,15,29,57,78,46,56
17,20,12,8,38,26,8,37,15
16,14,26,30,26,35,75,30,100
8,14,29,22,46,51,56,85,110
10,12,27,16,11,70,26,25,63
17,20,13,12,31,53,18,106,43
16,26,29,13,45,16,51,85,130
15,22,22,16,10,35,16,39,105
12,13,35,13,14,14,21,81,23
9,22,21,30,41,64,15,47,63
11,22,22,30,12,25,65,42,113
15,25,30,3,47,42,75,45,93
6,17,8,10,7,38,66,66,72
7,12,16,9,12,61,42,30,62
3,25,21,12,48,40,59,76,46
5,9,16,21,32,25,73,71,55
11,17,11,11,53,16,12,56,61
10,23,11,12,23,7,42,61,60
14,25,25,9,41,18,63,71,92
5,17,10,17,11,44,54,11,50
6,10,12,9,11,40,62,72,25
17,14,10,15,36,57,51,97,78
11,15,6,21,37,40,75,126,53
15,26,17,31,15,30,28,16,62
10,20,20,20,12,58,97,71,84
10,15,6,14,8,16,60,56,70
5,8,16,10,15,18,30,106,50
16,12,16,6,40,52,60,56,51
8,21,20,18,17,56,15,12,66
17,6,31,20,20,45,41,121,103
11,21,7,5,17,57,36,39,109
8,8,31,13,29,13,65,42,50
9,15,22,41,31,12,67,42,83
7,12,20,7,10,27,11,46,67
3,5,30,28,29,70,59,82,110
15,6,16,10,30,75,75,59,84
11,15,16,16,16,42,63,65,60
17,27,32,32,29,17,36,65,50
12,0,13,10,36,45,77,90,73
7,5,21,16,8,16,54,43,20
9,9,26,23,10,36,40,97,95
17,26,16,15,26,43,55,84,46
7,12,12,25,50,35,9,51,62
10,12,18,5,48,56,63,62,21
12,15,20,34,20,57,67,88,81
11,10,17,15,42,37,53,70,20
15,15,16,20,12,12,54,46,101
11,16,22,11,14,51,33,35,93
6,15,15,26,17,22,92,68,56
7,16,11,14,13,46,18,47,65
15,17,26,20,31,32,56,51,110
10,25,12,17,31,27,33,75,105
6,23,21,15,42,40,36,81,101
12,17,13,32,45,8,46,18,53
16,21,25,11,35,45,56,92,53
13,25,17,28,57,23,44,75,95
10,23,21,26,15,43,27,73,82
16,10,7,17,20,49,55,96,47
